,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-22,2017-07-23,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-29,2017-07-30,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-05,2017-08-06,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-12,2017-08-13,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-19,2017-08-20,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-26,2017-08-27,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-02,2017-09-03,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-09,2017-09-10,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-16,2017-09-17,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-23,2017-09-24,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-01,2017-10-02,2017-10-03,2017-10-04,2017-10-05,2017-10-06,2017-10-07,2017-10-08,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-14,2017-10-15,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-21,2017-10-22,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-28
156,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
157,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
158,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
162,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
163,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
167,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
168,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
169,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
170,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344,0.47185669082345344
